target,features_1,features_2,features_3,features_4,features_5,features_6,features_7,features_8,features_9,features_10
0,0.117131505443741,0.0604538801111302,0.00034467845771956,0.575545124414702,0.392668708704839,0.156509962413007,0.689726633017057,0.296978432508971,0.0804004122486708,0.135103561734739
1,0.520905292842294,0.316695247383926,0.433874473885829,0.395701964964367,0.298974461256064,0.584271933389355,0.838631144429484,0.578853537503835,0.910311680405908,0.56602394335999
1,0.573401391594624,0.160531917141875,0.240459540728193,0.354937409294701,0.0430528320790074,0.722496995276942,0.533454031493884,0.616255320082657,0.664572075979839,0.365114346060063
0,0.0140995940190526,0.0465092702174827,0.239740247758768,0.121010448971445,0.112849782334913,0.188962164545218,0.730506511552654,0.507692225674604,0.171238125737069,0.49183600839226
0,0.98589859060763,0.849652280363434,0.543003783562067,0.887008692114873,0.34651275345134,0.179341604093415,0.211632549753443,0.456801568547004,0.356984146948159,0.992187279539428
0,0.710577992474333,0.793831259056315,0.857572386379764,0.884388971466062,0.934898929268781,0.7361983561347,0.960336199612379,0.960534056131469,0.841334598596601,0.910403693517629
1,0.54670871770767,0.860146870904134,0.284804920904056,0.2640906785533,0.16261842798028,0.155218775637225,0.373286184392133,0.367287304533232,0.478058857678096,0.230279485570835
1,0.0757587265835901,0.299924955825508,0.826308814269672,0.894491211609783,0.983070638968344,0.813644394529011,0.319468221072471,0.208778297021806,0.647880480053776,0.581330814694969
0,0.0653207317969499,0.499673106704752,0.459294357591387,0.908027687479587,0.836935680255597,0.623140986262616,0.535992495844308,0.127225502900362,0.205566184412324,0.551616176158396
1,0.957029461911141,0.737834016763171,0.916910555431988,0.603147073022957,0.427983567747463,0.116468342558042,0.0447422577373475,0.240853310029141,0.177517168448707,0.483781533447073
1,0.14889959905323,0.831234768708842,0.927581705180081,0.922657772826219,0.998298827262598,0.989074512078129,0.999950225928752,0.830159382734695,0.802505220284758,0.881928606448256
0,0.830744411819986,0.439571893618541,0.717776787839275,0.524732945293403,0.59925497589144,0.465008331247199,0.996875689287551,0.599493170340306,0.0707228289896849,0.787079274882175
1,0.8486939892339,0.461652750980199,0.803061843559666,0.484567807513424,0.519652040059928,0.0208793415936895,0.20109141408858,0.660526228014759,0.435561741394034,0.143267336676629
1,0.895045767598234,0.337087292901268,0.253336653013846,0.118453735351197,0.25229294724046,0.147393481210507,0.199199542660364,0.303514331534036,0.710964329491352,0.658935906297583
1,0.693446109110075,0.664021072507536,0.901632883994538,0.798621763297348,0.802435349001008,0.988362342157291,0.865591729760938,0.869821248880726,0.456663869030901,0.1620841714131
0,0.791876345208002,0.412128151389564,0.706325158917821,0.351966424171094,0.4541037984568,0.854676478185554,0.883350888950528,0.879223722293691,0.785865040401427,0.617967477826078
0,0.023068090920895,0.0879358072429768,0.326657009877068,0.869577217239292,0.66644144128561,0.62475644329712,0.487842998482421,0.965387762454862,0.970889615508403,0.873556600561425
1,0.57812263808804,0.601272039077303,0.257260896104974,0.0872145138810186,0.317292586510441,0.737804176448801,0.503007243136237,0.669791403209108,0.273058986463472,0.062651889123831
1,0.522491401206264,0.645442105682129,0.113084099949155,0.825054554661051,0.826445049493127,0.956092627307235,0.691670743599946,0.412606765558967,0.119177151287467,0.450881556285299
0,0.339985798548766,0.465536249683263,0.717629418048455,0.292904673476891,0.622494770733271,0.780211217274542,0.812637290174351,0.878984467122746,0.686069083501394,0.850698797280748
1,0.161409946147959,0.462813907323499,0.497994584792392,0.79669129396958,0.558621011172467,0.459811383500504,0.728593296294501,0.330105729206255,0.543543605032321,0.540060711584331
0,0.507923484764342,0.279140052504522,0.697129895039194,0.75890366024519,0.576505445347543,0.803820965925391,0.910320320542096,0.908390174217916,0.783479752519347,0.207339894595821
0,0.523697999145518,0.491419010660369,0.759983382490078,0.56490314160278,0.134009170838512,0.00201477185850933,0.189093885500518,0.71415991844461,0.652090437724321,0.689913132262299
0,0.777025785806813,0.584680462160394,0.828426577686133,0.810058765749102,0.820488781167617,0.820632590258725,0.379907294916217,0.0384009637805102,0.158571116085894,0.120954795423671
0,0.436171722323765,0.448759394512009,0.783556867001748,0.82589495846782,0.824605565045563,0.969428498495706,0.99167087630554,0.76675795436447,0.730238151142026,0.997408383764774
